日期,交易类型,股票代码,交易股票数量,交易后持仓数量,交易价格,交易金额,手续费,交易原因,收盘价,EMA20,EMA60,RSI14,MACD_DIF,MACD_DEA,MACD_HIST,布林上轨,布林中轨,布林下轨,成交量,量能倍数,布林带位置,趋势过滤器,超买超卖信号,动能确认,极端价格量能,满足维度数,触发原因,行业,RSI超买阈值,RSI超卖阈值
2022/03/18,买入,603345,1100,7800,104.69,115159.0,140.49,现金买入,104.69,104.69,104.69,50.0,0,0,0,104.69,104.69,104.69,130132,0.97,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2022/03/25,买入,603345,1000,8800,102.32,102320.0,124.83,现金买入,102.32,102.32,102.32,50.0,0,0,0,102.32,102.32,102.32,98097,0.81,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2022/04/08,买入,603345,1000,9800,96.22,96220.0,117.39,现金买入,96.22,96.22,96.22,50.0,0,0,0,96.22,96.22,96.22,66938,0.66,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2022/04/15,卖出,601225,30100,271200,11.36,341936.0,759.1,转现金,11.36,11.36,11.36,50.0,0,0,0,11.36,11.36,11.36,4185532,1.3,轨道之间,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2022/04/15,卖出,601898,4800,43200,8.45,40560.0,90.04,转现金,8.45,8.45,8.45,50.0,0,0,0,8.45,8.45,8.45,6529062,2.0,轨道之间,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2022/05/27,卖出,601225,27100,244100,13.17,356907.0,792.33,转现金,13.17,13.17,13.17,50.0,0,0,0,13.17,13.17,13.17,3264061,1.39,轨道之间,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2022/08/26,卖出,601225,24400,219700,17.8,434320.0,964.19,转现金,17.8,17.8,17.8,50.0,0,0,0,17.8,17.8,17.8,3658039,1.59,轨道之间,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2022/11/04,买入,600900,11800,110400,17.52,206736.0,252.22,现金买入,17.52,20.02,19.59,17.67,-0.2213,0.2294,-0.4507,22.64,20.5,18.37,4302023,1.43,下轨之下,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度,电力,70,35
2022/11/11,买入,600900,10400,120800,17.83,185432.0,226.23,现金买入,17.83,19.81,19.52,22.47,-0.3603,0.1115,-0.4718,22.83,20.39,17.94,3366597,1.04,下轨之下,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度,电力,70,35
2023/09/08,买入,002460,3600,17500,45.7,164520.0,197.42,现金买入,45.7,45.7,45.7,50.0,0,0,0,45.7,45.7,45.7,810628,1.02,轨道之间,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度,能源金属,67,27
2023/11/03,买入,002460,3500,21000,42.11,147385.0,176.86,现金买入,42.11,42.11,42.11,50.0,0,0,0,42.11,42.11,42.11,1348953,0.88,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,能源金属,67,27
2023/12/01,卖出,600985,19500,176000,14.42,281190.0,624.24,转现金,14.42,12.02,11.32,92.65,0.7844,0.4771,0.3073,14.13,11.6,9.07,1322435,1.42,上轨之上,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2023/12/01,买入,002460,4300,25300,37.83,162669.0,195.2,现金买入,37.83,37.83,37.83,50.0,0,0,0,37.83,37.83,37.83,1151295,0.87,轨道之间,✓,✓,✓,✗,3/4,买入信号：趋势过滤器+2个买入维度,能源金属,67,27
2024/01/26,卖出,600985,17600,158400,15.82,278432.0,618.12,转现金,15.82,13.79,12.38,77.62,1.2136,1.0294,0.1842,16.71,13.5,10.29,724885,0.82,轨道之间,✓,✓,✓,✗,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2024/01/26,卖出,601898,4300,38900,11.36,48848.0,108.44,转现金,11.36,11.36,11.36,50.0,0,0,0,11.36,11.36,11.36,2715826,1.39,轨道之间,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2024/01/26,买入,603345,2300,12100,76.4,175720.0,214.38,现金买入,76.4,76.4,76.4,50.0,0,0,0,76.4,76.4,76.4,519030,2.18,轨道之间,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2024/02/02,买入,002738,5800,194600,28.03,162574.0,195.09,现金买入,28.03,36.23,41.07,38.66,-2.5109,-2.7308,0.2199,39.45,35.16,30.88,1293280,0.89,下轨之下,✓,✗,✓,✓,3/4,买入信号：趋势过滤器+2个买入维度,能源金属,67,27
2024/02/02,买入,002460,4500,29800,32.21,144945.0,173.93,现金买入,32.21,32.21,32.21,50.0,0,0,0,32.21,32.21,32.21,1372362,0.86,轨道之间,✓,✓,✓,✓,4/4,买入信号：趋势过滤器+3个买入维度,能源金属,67,27
2024/02/02,买入,603345,1900,14000,66.89,127091.0,155.05,现金买入,66.89,66.89,66.89,50.0,0,0,0,66.89,66.89,66.89,311577,1.11,轨道之间,✓,✓,✗,✓,3/4,买入信号：趋势过滤器+2个买入维度,食品制造,70,30
2024/02/08,买入,002738,3900,198500,30.09,117351.0,140.82,现金买入,30.09,35.65,40.64,42.07,-2.7068,-2.726,0.0192,39.67,34.86,30.05,1120390,0.85,轨道之间,✓,✗,✓,✓,3/4,买入信号：趋势过滤器+2个买入维度,能源金属,67,27
2024/02/08,买入,002460,3100,32900,33.92,105152.0,126.18,现金买入,33.92,33.92,33.92,50.0,0,0,0,33.92,33.92,33.92,1139750,0.89,轨道之间,✓,✗,✓,✓,3/4,买入信号：趋势过滤器+2个买入维度,能源金属,67,27
2024/02/23,卖出,600985,15800,142600,17.84,281872.0,625.76,转现金,17.84,14.56,12.87,79.14,1.3973,1.164,0.2332,17.69,14.3,10.91,1631865,1.55,上轨之上,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2024/03/08,卖出,601898,3800,35100,11.76,44688.0,99.21,转现金,11.76,11.76,11.76,50.0,0,0,0,11.76,11.76,11.76,2147202,0.98,轨道之间,✓,✓,✓,✗,3/4,卖出信号：趋势过滤器+2个卖出维度,煤炭,70,28
2024/04/12,卖出,000933,48800,440100,23.05,1124840.0,2474.65,转现金,23.05,23.05,23.05,50.0,0,0,0,23.05,23.05,23.05,2516081,1.62,轨道之间,✓,✓,✗,✓,3/4,卖出信号：趋势过滤器+2个卖出维度,工业金属,70,30
2024/08/02,卖出,600900,12000,108800,29.3,351600.0,780.55,转现金,29.3,26.18,23.81,85.24,1.7775,1.4166,0.361,30.12,25.61,21.1,3565387,0.85,轨道之间,✓,✓,✓,✗,3/4,卖出信号：趋势过滤器+2个卖出维度,电力,70,35
2024/08/09,卖出,600900,10800,98000,28.6,308880.0,685.71,转现金,28.6,26.41,24.0,77.63,1.7491,1.4831,0.266,30.44,25.88,21.32,3308521,0.82,轨道之间,✓,✓,✓,✗,3/4,卖出信号：趋势过滤器+2个卖出维度,电力,70,35
2024/08/16,卖出,600900,9800,88200,28.68,281064.0,623.96,转现金,28.68,26.62,24.18,80.85,1.7132,1.5291,0.1841,30.69,26.15,21.62,2759543,0.76,轨道之间,✓,✓,✓,✗,3/4,卖出信号：趋势过滤器+2个卖出维度,电力,70,35
2024/08/23,卖出,600900,8800,79400,28.97,254936.0,565.96,转现金,28.97,26.85,24.37,80.82,1.6887,1.561,0.1277,30.86,26.47,22.08,2686689,0.87,轨道之间,✓,✓,✓,✗,3/4,卖出信号：趋势过滤器+2个卖出维度,电力,70,35
